planet;host;period_day;duration_hr;depth;snr;avg_flux;flux_var
HAT-P-27 b;HAT-P-27;3.039577;1.68;0.017325488;6.930812802;0.999893651;7.36E-06
HAT-P-13 b;HAT-P-13;2.91625;3.28681;0.008920011;9.43608199;0.99981162;1.95E-06
HAT-P-26 b;HAT-P-26;4.23452;2.4552;0.00937418;5.462934107;0.999976805;3.07E-06
HAT-P-16 b;HAT-P-16;2.77596;3.0624;0.155199963;133.1846435;0.999561627;8.71E-06
HAT-P-21 b;HAT-P-21;4.12448;3.672;0.011160781;5.066939968;0.999924013;3.97E-06
HAT-P-25 b;HAT-P-25;3.65281514;2.81304;0.02453788;6.38505607;0.999827189;1.58E-05
HAT-P-20 b;HAT-P-20;2.875317;1.848;0.833059727;686.4610554;1.000071957;0.000222358
HAT-P-24 b;HAT-P-24;3.35524;3.694;0.99978499;445.8503195;0.997542465;0.005450611
HAT-P-14 b;HAT-P-14;4.62767;2.1888;0.313199985;463.5655612;0.999887749;1.61E-05
HAT-P-2 b;HAT-P-2;5.6335158;4.2888;0.321540441;813.2473571;0.999902849;1.22E-05
HAT-P-15 b;HAT-P-15;10.8635;5.484;0.012999743;6.781997393;0.99990778;4.03E-06
Gliese 12 b;Gliese 12;12.761408;1.2;0.949736759;1084.268915;0.995934283;0.004123329
HAT-P-18 b;HAT-P-18;5.508023;2.7144;0.02971079;5.112200696;0.999938533;2.42E-05
HAT-P-19 b;HAT-P-19;4.00878322;2.8368;0.034046742;4.730708631;0.999940908;4.81E-05
HAT-P-22 b;HAT-P-22;3.21222;2.653;0.014001108;10.30742729;0.999819511;2.63E-06
HAT-P-23 b;HAT-P-23;1.212884;2.1792;0.026596931;4.384755012;0.999966583;2.49E-05
HAT-P-11 b;HAT-P-11;4.88780244;2.36386;0.020878493;246.1935052;0.999953167;5.57E-07
EPIC 206042996 c;EPIC 206042996;0.354884;1.07;0.14649329;3.705162787;1.00002976;0.00138862
EPIC 206024342 c;EPIC 206024342;0.911724;1.416;0.889751771;169.5882619;1.00113254;0.003662593
EPIC 206024342 b;EPIC 206024342;4.50756;2.184;0.889751771;169.5882619;1.00113254;0.003662593
EPIC 206042996 b;EPIC 206042996;5.2986;3.144;0.14649329;3.705162787;1.00002976;0.00138862
EPIC 211822797 b;EPIC 211822797;21.1701963;3.576;0.041781217;3.699729236;1.000381401;0.000159962
Kepler-1003 b;Kepler-1003;3.55485691;2.1026;0.049839808;4.062864981;0.999993961;0.000133789
KPS-1 b;KPS-1;1.706291;1.68;0.023241371;5.713899355;0.999891595;1.70E-05
Kepler-1007 b;Kepler-1007;5.18500207;2.1771;0.076915251;4.910880303;1.000004675;0.000240595
KOI-984 b;KOI-984;4.2881785;1.58;0.02462007;6.413774611;1.000001423;1.53E-05
Kepler-1004 b;Kepler-1004;5.28789787;8.528;0.023975448;4.254294938;1.000010336;2.98E-05
Kepler-1008 b;Kepler-1008;12.43931193;3.121;0.027303388;4.286705015;0.999994065;3.90E-05
Kepler-1005 b;Kepler-1005;6.49801525;2.3167;0.034812259;5.737790172;1.00000698;3.39E-05
Kepler-1009 b;Kepler-1009;11.35011917;2.3758;0.14865956;4.916180707;1.000652476;0.002342756
Kepler-1001 c;Kepler-1001;9.18186;3.396;0.121091409;4.527990505;1.000041777;0.000691257
Kepler-1006 b;Kepler-1006;19.76172042;3.5906;0.100893085;4.834813104;0.999941997;0.000405354
KOI-94 d;KOI-94;22.342989;6.68603;0.80070724;246.0090677;0.999933769;5.39E-05
KOI-94 e;KOI-94;54.32031;8.4652;0.80070724;246.0090677;0.999933769;5.39E-05
Kepler-1000 b;Kepler-1000;120.0181272;11.604;0.024336732;4.361953108;1.000035855;2.93E-05
Kepler-1002 b;Kepler-1002;4.33642933;4.1031;0.025034495;94.1914872;0.999993683;1.18E-07
